,,,,,,,,,,,,,,,,,,,,,,,,,,,
,UE41,Intitulé de l'EC,AU3,Automatique 3,,,,,,,,,,,,,,,,,,,,,,,
,,Crédits,3,,,,,,,,,,,,,,,,,,,,,,,,
,,Nbe h.,49,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Compétence 3,,Mettre en oeuvre une démarche expérimentale,,,,,,,,,,2,M,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Compétence 4,,Concevoir un système répondant à un cahier des charges,,,,,,,,,,2,M,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Compétence 5,,Traiter des données ,,,,,,,,,,,M,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Compétence 6,,Communiquer une analyse ou une démarche scientifique,,,,,,,,,,2,M,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
"COMPÉTENCES EN HUMANITÉS, DOCUMENTATION ET EDUCATION PHYSIQUE ET SPORTIVE ",,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Compétence 5,,Agir de manière responsable dans un monde complexe ,,,,,,,,,,,M,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Compétence 6,,"Se situer, travailler, évoluer dans une entreprise, une organisation socio-productive ",,,,,,,,,,,M,,,,,,,,,,,,,,
