UE : GI-3-INFO-S1,,,,,,,
EC : GI-3-ARO-S1,Architecture des ordinateurs et systèmes d'exploitation,,,,,,
ECTS,1,,,,,,
Nbre H,14,,,,,,
,,,,,,,Niveau de la compétence
,Compétence 10,Dimensionner la partie matérielle et/ou logicielle d'un système ,,,,,2
,,,,,,,
CAPACITES,,CONNAISSANCES,,,,,
"Choisir les caractéristiques techniques d'un matériel informatique en fonction des besoins hardware et software (4,10)",,Mémoires (4),,,,,
Utiliser les systèmes d'exploitation standards et optimiser la gestion des ressources (10),,CPU / langage machine (4),,,,,
"Identifier des ressources partagées par des processus et les synchroniser (5,8)",,Communication du matériel (4),,,,,
,,"Principes clés des systèmes d'exploitation (gestion de la mémoire et des fichiers, pilotes) (4,10)",,,,,
,,"Programmation concurrente et synchronisation des processus (5,8)",,,,,
