UE : GI-4 HU EPS-S2,,,,,,,
EC : GI-4-INR-S2,Initiation à la recherche,,,,,,
ECTS,1,,,,,,
Nbre H,10,,,,,,
,,,,,,,Niveau de la compétence
,Compétence 7,"Observer, mesurer, analyser et interpréter une activité ou un système à partir de données",,,,,M
,Compétence 17,"Appréhender et évaluer une structure de manière globale, au travers de grilles de lecture socio-économiques ",,,,,M
,Compétence 19,Prendre en compte l'innovation technologique et méthodologique,,,,,1
,Compétence 20,"Conduire collectivement un projet : organisation, communication, animation, coordination du groupe ",,,,,M
,Compétence 22,"Identifier, analyser et maîtriser les risques inhérents à un projet ",,,,,M
,,,,,,,
CAPACITES,,CONNAISSANCES,,,,,
"Développer une démarche de questionnement scientifique sur une problématique de recherche
",,Dispositifs et acteurs de la recherche en France et la place des ingénieurs - docteurs,,,,,
,,Problématiques de recherche en génie industriel,,,,,
