,,,,,,,,,,,,,,,,,,,,,,,,,,,
,UE47,Intitulé de l'EC,SHS4,Sciences Humaines et Sociales,,,,,,,,,,,,,,,,,,,,,,,
,,Crédits,2,Comptabilité / gestion (initiation) / gestion budgétaire et financière,,,,,,,,,,,,,,,,,,,,,,,
,,Nbe h.,53,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,Niveau de la compétence,Compétence ciblée C ou mobilisée M,,,,,,,,,,,,
COMPETENCES EN SCIENCES POUR L'INGENIEUR,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Compétence 1,,Analyser un système (ou un problème) réel ou virtuel ,,,,,,,,,,,,,,,,,,,,,,,,,
Compétence 4,,"Faire preuve de créativité, innover, entreprendre",,,,,,,,,,,,,,,,,,,,,,,,,
,Capacité,,,,,,,,,,,,,,,,,,,,,,,,,,
,Capacité,,,,,,,,,,,,,,,,,,,,,,,,,,
,Capacité,,,,,,,,,,,,,,,,,,,,,,,,,,
,Connaissance,,,,,,,,,,,,,,,,,,,,,,,,,,
,Connaissance,,,,,,,,,,,,,,,,,,,,,,,,,,
,Connaissance,,,,,,,,,,,,,,,,,,,,,,,,,,
,Mots-clés,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Compétence 5,,Agir de manière responsable dans un monde complexe ,,,,,,,,,,,,2,C,,,,,,,,,,,,
Droit,Capacité,Comprendre les grands principes du droit du travail ,,,,,,,,,,,,,,,,,,,,,,,,,
,Capacité,Comprendre la logique juridique pour pouvoir gérer du personnel,,,,,,,,,,,,,,,,,,,,,,,,,
,Capacité,"Savoir choisir un investissement, être capable d’établir son budget, justifier de sa rentabilité et savoir choisir son financement",,,,,,,,,,,,,,,,,,,,,,,,,
,Connaissance,"Droit : principes du droit, textes de bases….les représetants du personnel, les sanctions",,,,,,,,,,,,,,,,,,,,,,,,,
,Connaissance,,,,,,,,,,,,,,,,,,,,,,,,,,
,Connaissance,,,,,,,,,,,,,,,,,,,,,,,,,,
,Mots-clés,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Compétence 6,,"Se situer, travailler, évoluer dans une entreprise, une organisation socio-productive ",,,,,,,,,,,,2,C,,,,,,,,,,,,
Comptabilité et gestion,Capacité,"Comprendre l’intérêt de la comptabilité générale et acquérir les principes de base (bilan, compte de résultat",,,,,,,,,,,,,,,,,,,,,,,,,
,Capacité,Comprendre les notions essentielles de rentabilité et d’équilibre financier,,,,,,,,,,,,,,,,,,,,,,,,,
,Capacité,Connaître les principales notions et outils d’analyse financière,,,,,,,,,,,,,,,,,,,,,,,,,
,Connaissance,"Initiation à la gestion: l’entreprise et ses comptes, le bilan et le compte de résultat,",,,,,,,,,,,,,,,,,,,,,,,,,
,Connaissance,"Gestion budgétaire:  l'entreprise et la gestion, la gestion prévisionnelle : budgets, plans, comptes prévisionnel",,,,,,,,,,,,,,,,,,,,,,,,,
