,UE37,Intitulé de l'EC,SHS2,Communication - Management de projet - Développement durable,,,,,,,,,,,,,,,,,,,,,,,
,,Crédits,3,,,,,,,,,,,,,,,,,,,,,,,,
,,Nbe h.,77,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,Niveau de la compétence,Compétence ciblée C ou mobilisée M,,,,,,,,,,,,
COMPETENCES EN SCIENCES POUR L'INGENIEUR,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Compétence 1,,Analyser un système (ou un problème) réel ou virtuel ,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Compétence 2,,Exploiter un modèle d'un système réel ou virtuel,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Compétence 3,,Mettre en oeuvre une démarche expérimentale,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Compétence 4,,Concevoir un système répondant à un cahier des charges,,,,,,,,,,,,,M,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Compétence 5,,Traiter des données ,,,,,,,,,,,,,M,,,,,,,,,,,,
Management de projet,Capacité,"Appréhender les différents éléments liés au temps, et financiers d’un projet",,,,,,,,,,,,,,,,,,,,,,,,,
,Connaissance,Les différents composantes et interactions dans une gestion de projet,,,,,,,,,,,,,,,,,,,,,,,,,
,Connaissance,Les outils de résolution de problème,,,,,,,,,,,,,,,,,,,,,,,,,
,Connaissance,Mesure des résultats attendus et analyse,,,,,,,,,,,,,,,,,,,,,,,,,
,Mots-clés,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Compétence 6,,Communiquer une analyse ou une démarche scientifique,,,,,,,,,,,,,M,,,,,,,,,,,,
Management de projet,Capacité,"Définir un objectif, élaborer une démarche et mettre en œuvre un plan d’actions",,,,,,,,,,,,,,,,,,,,,,,,,
"COMPÉTENCES EN HUMANITÉS, DOCUMENTATION ET EDUCATION PHYSIQUE ET SPORTIVE ",,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Compétence 1,,"Se connaître, se gérer physiquement et mentalement",,,,,,,,,,,,2,C,,,,,,,,,,,,
Communication orale,Capacité,Etre à l’écoute des autres,,,,,,,,,,,,,,,,,,,,,,,,,
,Capacité,Découvrir ses propres ressources,,,,,,,,,,,,,,,,,,,,,,,,,
,Capacité,Prendre la parole,,,,,,,,,,,,,,,,,,,,,,,,,
,Connaissance,(Théatre),,,,,,,,,,,,,,,,,,,,,,,,,
Communication orale,Capacité," Apprendre à motiver l’intérêt, l’écoute, l’implication… de l’autre",,,,,,,,,,,,,,,,,,,,,,,,,
,Connaissance,Concept d’intention positive ou comment nourrir les attentes ou les valeurs de l’autre.,,,,,,,,,,,,,,,,,,,,,,,,,
,Connaissance,Identifier son canal sensoriel dominant et celui de son interlocuteur,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Compétence 2,,"Travailler, apprendre, évoluer de manière autonome ",,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Compétence 3,,"Interagir avec les autres, travailler en équipe",,,,,,,,,,,,2,C,,,,,,,,,,,,
Communication orale,Capacité,Parler devant un groupe,,,,,,,,,,,,,,,,,,,,,,,,,
,Capacité,Avoir confiance en soi et aux autres,,,,,,,,,,,,,,,,,,,,,,,,,
,Capacité,Savoir se situer et situer les collaborateurs dans un travail en équipe,,,,,,,,,,,,,,,,,,,,,,,,,
,Connaissance,Communication,,,,,,,,,,,,,,,,,,,,,,,,,
Communication orale,Capacité," Apprendre à motiver l’intérêt, l’écoute, l’implication… de l’autre",,,,,,,,,,,,,,,,,,,,,,,,,
,Capacité,Donner du sens fort à sa communication,,,,,,,,,,,,,,,,,,,,,,,,,
,Connaissance,Concept d’intention positive ou comment nourrir les attentes ou les valeurs de l’autre.,,,,,,,,,,,,,,,,,,,,,,,,,
,Connaissance,Identifier son canal sensoriel dominant et celui de son interlocuteur,,,,,,,,,,,,,,,,,,,,,,,,,
Management de projet,Connaissance,Les bases et factuers clés d'une gestion de projet réussi.,,,,,,,,,,,,,,,,,,,,,,,,,
,Connaissance,"Identifier les ressources nécessaires à chaque tâche,",,,,,,,,,,,,,,,,,,,,,,,,,
,Connaissance," Les interactions entre les services et/ou intervenants,",,,,,,,,,,,,,,,,,,,,,,,,,
,Connaissance,"Les procédures de prise de décision, de constitution d’équipe,",,,,,,,,,,,,,,,,,,,,,,,,,
,Capacité,"Savoir planifier un projet et modéliser des problématiques,",,,,,,,,,,,,,,,,,,,,,,,,,
,Capacité,"Etre capable de mettre en œuvre une démarche rationnelle dans le traitement d’un problème,",,,,,,,,,,,,,,,,,,,,,,,,,
,Capacité,"Appréhender les différentes composantes d’un projet,",,,,,,,,,,,,,,,,,,,,,,,,,
,Capacité,"Savoir se situer et situer ses équipes dans une démarche projet,",,,,,,,,,,,,,,,,,,,,,,,,,
,Mots-clés,,,,,,,,,,,,,,,,,,,,,,,,,,
Compétence 4,,"Faire preuve de créativité, innover, entreprendre",,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Compétence 5,,Agir de manière responsable dans un monde complexe ,,,,,,,,,,,,,M,,,,,,,,,,,,
"Environnement / Dév, Durable",Capacité,"comprendre les enjeux environnementaux de l’entreprise sur les plans réglementaire, économique et technique.",,,,,,,,,,,,,,,,,,,,,,,,,
,Capacité,Comprendre la notion de Développement durable,,,,,,,,,,,,,,,,,,,,,,,,,
,Connaissance,Environnement: bases de réglementation environnementale ,,,,,,,,,,,,,,,,,,,,,,,,,
,Connaissance,Le développement durable,,,,,,,,,,,,,,,,,,,,,,,,,
,Connaissance,Notion de développement durable,,,,,,,,,,,,,,,,,,,,,,,,,
,Connaissance,"La gestion de l’environnement mondiale, en Europe et en France",,,,,,,,,,,,,,,,,,,,,,,,,
,Mots-clés,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Compétence 6,,"Se situer, travailler, évoluer dans une entreprise, une organisation socio-productive ",,,,,,,,,,,,1,C,,,,,,,,,,,,
"Environnement / Dév, Durable",Capacité,"comprendre les enjeux environnementaux de l’entreprise sur les plans réglementaire, économique et technique",,,,,,,,,,,,,,,,,,,,,,,,,
,Capacité,Comprendre la notion de Développement durable,,,,,,,,,,,,,,,,,,,,,,,,,
,Capacité,Inter-agir avec des ressources complémentaires,,,,,,,,,,,,,,,,,,,,,,,,,
,Connaissance,,,,,,,,,,,,,,,,,,,,,,,,,,
Management de projet,Capacité,"Savoir se situer et situer ses équipes dans une démarche projet,",,,,,,,,,,,,,,,,,,,,,,,,,
,Connaissance,"Le processus de déroulement et ses phases,",,,,,,,,,,,,,,,,,,,,,,,,,
,Connaissance,Les interactions entre les services et/ou intervenants,,,,,,,,,,,,,,,,,,,,,,,,,
,Connaissance,"L’organigramme des tâches,",,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Compétence 7,,Travailler dans un contexte international et interculturel ,,,,,,,,,,,,1,C,,,,,,,,,,,,
Management de projet,Capacité,Appréhender les différentes composantes d’un projet,,,,,,,,,,,,,,,,,,,,,,,,,
,Capacité,Mettre en œuvre une démarche rationnelle dans le traitement d’un problème dans un un environnement interculturel et international,,,,,,,,,,,,,,,,,,,,,,,,,
,Connaissance,"Management de projet: les facteurs clés de réussite, l’analyse des risques / ressources humaines et plan de communication ",,,,,,,,,,,,,,,,,,,,,,,,,
