TC-5-CHINE-IVB,16,0,0,0
TC-5-CHINE-AWN,16,0,0,0
TC-5-CHINE-ARC,16,0,0,0
TC-5-CHINE-ASI,16,0,0,0
TC-5-CHINE-PIO,0,0,8,16
TC-5-P-PFE-S10-,0,10.8 h,0,350
TC-5-P-PFE-S10-,0,10,0,0
TC-5-P-PFE-S10-,0,10,0,0
TC-5-CHINE-DLG,50,0,0,0
TC-5-CHINE-IMP,0,0,8,0
HU-5-FEE,180,50,0,30
TC-5-STA-S10-ENT,0,6,0,700
TC-5-STA-S10-RAP,0,0,0,0
TC-5-STA-S10-SOU,0,0,0,0
